fecha,R,G,B,Intensidad,R_norm,G_norm,B_norm,RG_ratio,RB_ratio,BG_ratio,Etiqueta
2025-10-20 14:52:08,5134.729754544898,3417.6443267467916,3684.3851018973996,12236.75918318909,0.42,0.279,0.301,1.502,1.394,1.078,0
2025-10-20 14:52:11,4377.730925790627,3077.9364496954577,3649.7598329272537,11105.427208413339,0.394,0.277,0.329,1.422,1.199,1.186,0
2025-10-20 14:52:13,3248.6283014483774,3462.646743168497,3857.3633144801584,10568.638359097033,0.307,0.328,0.365,0.938,0.842,1.114,0
2025-10-20 14:52:38,1967.355707216398,1435.6434084646849,1668.5446046742913,5071.543720355374,0.388,0.283,0.329,1.37,1.179,1.162,0
2025-10-20 14:52:40,2543.3126155898494,1790.5246531483458,1996.146963639825,6329.98423237802,0.402,0.283,0.315,1.42,1.274,1.115,0
2025-10-20 14:52:42,2517.664995948258,1680.9153391443742,1915.4259618677931,6114.006296960426,0.412,0.275,0.313,1.498,1.314,1.14,0
2025-10-20 14:52:43,2605.3195850673956,1784.7342666269521,1995.007610350076,6385.061462044424,0.408,0.28,0.312,1.46,1.306,1.118,0
2025-10-20 14:52:45,2582.540483960347,1737.347361444785,1928.9477557027226,6248.835601107854,0.413,0.278,0.309,1.486,1.339,1.11,0
2025-10-20 14:52:50,4310.914229919317,2873.8935900510464,2881.3959399580945,10066.203759928458,0.428,0.285,0.286,1.5,1.496,1.003,0
2025-10-20 14:52:52,3446.42892358258,2379.476938787088,2126.982935672811,7952.888798042479,0.433,0.299,0.267,1.448,1.62,0.894,0
2025-10-20 14:52:54,6557.698561601001,4521.429418422897,4813.017384818406,15892.145364842303,0.413,0.285,0.303,1.45,1.362,1.064,0
2025-10-20 14:52:56,8250.81931739943,5338.9816700611,5686.035382634041,19275.83637009457,0.428,0.277,0.295,1.545,1.451,1.065,0
2025-10-20 14:52:58,8596.646853863496,5692.208726335075,5848.980616371497,20137.836196570068,0.427,0.283,0.29,1.51,1.47,1.028,0
2025-10-20 14:53:01,8145.070395183999,5439.377512644274,5684.108957853367,19268.55686568164,0.423,0.282,0.295,1.497,1.433,1.045,0
2025-10-20 14:53:02,8052.033019773469,5578.273706609922,5613.361884368308,19243.668610751698,0.418,0.29,0.292,1.443,1.434,1.006,0
2025-10-20 14:53:04,8223.319282423292,5484.18410041841,5836.77150013916,19544.274882980862,0.421,0.281,0.299,1.499,1.409,1.064,0
2025-10-20 14:53:17,11326.772886848501,7400.624614027349,7597.000543379822,26324.39804425567,0.43,0.281,0.289,1.531,1.491,1.027,0
2025-10-20 14:53:19,10671.17160666582,6979.455861552542,7041.557961890372,24692.185430108733,0.432,0.283,0.285,1.529,1.515,1.009,0
2025-10-20 14:53:21,10139.741327208993,6395.706007929247,6635.507040025313,23170.954375163554,0.438,0.276,0.286,1.585,1.528,1.037,0
2025-10-20 14:53:23,4748.7166713840925,6927.009083402147,6870.839544598247,18546.565299384485,0.256,0.373,0.37,0.686,0.691,0.992,0
2025-10-20 14:53:25,10833.795686426449,7288.737509774959,7447.272727272727,25569.805923474138,0.424,0.285,0.291,1.486,1.455,1.022,0
2025-10-20 14:53:30,11925.800398066534,7499.8730442557,7792.483046911287,27218.15648923352,0.438,0.276,0.286,1.59,1.53,1.039,0
2025-10-20 14:53:32,10959.770054873268,7096.3607139835885,7532.197180569274,25588.32794942613,0.428,0.277,0.294,1.544,1.455,1.061,0
2025-10-20 14:53:33,11184.810666666666,7269.787676575093,7593.562053046076,26048.160396287836,0.429,0.279,0.292,1.539,1.473,1.045,0
2025-10-20 14:53:35,10978.416437639053,7127.7151839578555,7298.2495214894725,25404.381143086383,0.432,0.281,0.287,1.54,1.504,1.024,0
